,0
0,0.01616170643394992
1,0.06456953836851703
2,0.1449891235314301
3,0.2570514536289496
4,0.4002351397566468
5,0.5739489990637637
6,0.77743574784657
7,1.0100009508892478
8,1.2706874063068367
9,1.5588754628515482
10,1.8733441270412814
11,2.2138484238547926
12,2.5785644562680825
13,2.9682673361534193
14,3.379510412922886
15,3.8157187378071673
16,4.269092361015809
17,4.749995861562254
18,5.239158923358033
19,5.765097949993142
20,6.278775743550474
21,6.855532407894324
22,7.37085505320921
23,8.017116788616685
24,8.488586666339023
25,9.248157517165724
26,9.609451552786012
27,10.550251236972146
28,10.76679103620967
29,11.927671012179554
30,12.03356996201897
31,13.385332127987406
32,13.431861404338642
33,14.926780535393982
34,14.946208396852516
35,16.55344306008886
36,16.561312669187217
37,18.264992273003788
38,18.26810878070251
39,20.06004200885328
40,20.061253218496756
41,21.93668797510132
42,21.937151055860966
43,23.89280765046981
44,23.8929821355842
45,25.9261932774182
46,25.926258162921098
47,28.034598623114082
48,28.034622465368052
49,30.215748970510337
50,30.21575763631037
51,32.467338314189654
52,32.467341432575395
53,34.78702368882178
54,34.787024800726556
55,37.17242010781041
56,37.172420500949045
57,39.62109698971907
58,39.62109712764984
59,42.13057604256807
60,42.130576090617524
61,44.69833033495816
62,44.698330351587835
63,47.32178427266284
64,47.321784278384044
65,49.99831425183005
66,49.99831425378768
67,52.72524981761435
68,52.72524981828087
69,55.499875204087516
70,55.49987520431344
71,58.31943116599835
72,58.31943116607462
73,61.18111703761261
74,61.18111703763828
75,64.08209297115961
76,64.08209297116822
77,67.01948231953622
78,67.01948231953911
79,69.9903741364754
80,69.99037413647636
81,72.99182577347774
82,72.99182577347783
83,76.02086555718597
84,76.020865557186
85,79.07449553407041
86,79.07449553407042
87,82.14969427162526
88,82.14969427162526
89,85.24341970701208
90,85.24341970701211
91,88.35261203537506
92,88.35261203537507
93,91.47419663102266
94,91.47419663102269
95,94.60508699540412
96,94.60508699540414
97,97.74218772636098
98,97.74218772636102
99,100.88239750355403
100,100.88239750355405
101,104.02261208527958
102,104.02261208527958
103,107.1597273121224
104,107.15972731212246
105,110.29064211306108
106,110.2906421130611
107,113.41226150975352
108,113.41226150975352
109,116.52149961479985
110,116.52149961479988
111,119.61528261980385
112,119.61528261980396
113,122.69055176904193
114,122.69055176904193
115,125.74426631449307
116,125.74426631449307
117,128.77340644789058
118,128.77340644789064
119,131.7749762053107
120,131.7749762053107
121,134.74600633961808
122,134.7460063396181
123,137.683557155827
124,137.68355715582703
125,140.58472130409478
126,140.58472130409487
127,143.4466265246286
128,143.4466265246286
129,146.26643833822325
130,146.26643833822328
131,149.04136267543595
132,149.04136267543595
133,151.76864843648835
134,151.76864843648838
135,154.445589972824
136,154.44558997282408
137,157.06952947975745
138,157.06952947975753
139,159.63785928773655
140,159.63785928773967
141,162.14802403728453
142,162.14802403729928
143,164.59752271949384
144,164.5975227195446
145,166.98391055983308
146,166.98391055997052
147,169.30480071765274
148,169.30480071793053
149,171.55786576678045
150,171.55786576704676
151,173.74083891247258
152,173.74083891343042
153,175.85151488852247
154,175.85151489556725
155,177.88775046389634
156,177.88775049160722
157,179.84746446101948
158,179.84746454356488
159,181.72863717160422
160,181.72863736573316
161,183.5293090254386
162,183.5293093560554
163,185.24757834756525
164,185.24757854160964
165,186.8815966683378
166,186.8815980126838
167,188.42956333165554
168,188.4295707147186
169,189.88971771189082
170,189.88974221598465
171,191.26032812750492
172,191.26039088491942
173,192.53968141623818
174,192.5398094443486
175,193.7260771375586
176,193.72627096852014
177,194.8178331979471
178,194.8179680221529
179,195.81291922845793
180,195.8133012720637
181,196.70886521678926
182,196.71085898957008
183,197.50323095611463
184,197.5087942715126
185,198.19326913110575
186,198.20498850145046
187,198.77638871386972
188,198.79644455882433
189,199.25031460896193
190,199.2789502500658
191,199.6124857176362
192,199.64718423268621
193,199.85890824345992
194,199.89475240219366
195,199.9842173459002
196,200.06059207194653
197,201.54078770816815
198,204.27411295722263
199,207.94804080117606
