,0
0,-30.97867023752894
1,-30.978670237254896
2,-9.951624155539678
3,-9.951572088252961
4,-7.396530824235127
5,-7.396527117925924
6,0.10879110190994334
7,0.1753983738737299
8,0.2131432359557803
9,0.3172549621050106
10,0.3221326571038439
11,0.4457964287739216
12,0.8424356133611614
13,1.2584580780265473
14,1.3638615323732624
15,1.672948357132293
16,1.6961954141484352
17,2.07673702599433
18,2.382768842820837
19,3.5400308982909685
20,3.5642251908528846
21,4.158449057563433
22,4.249721136244463
23,4.915043965643918
24,4.980099461955921
25,6.366616478747572
26,6.8704123603615965
27,7.557981513106538
28,7.764943063638224
29,8.491059791946675
30,8.911283751000557
31,9.906380642048097
32,11.058656411151043
33,11.737832857576379
34,12.15522399772327
35,13.063545229425143
36,13.628232158903009
37,14.363868235029441
38,15.90339431640976
39,16.747122113882327
40,17.298640045383294
41,18.51632392379287
42,18.887128974330782
43,19.977048955514174
44,21.223097206499794
45,22.667266291160008
46,23.074776305641702
47,24.760246829245055
48,24.796330495130878
49,26.506869720285955
50,27.11661109036544
51,29.373710591043565
52,29.387996125693597
53,31.370651376625744
54,31.696035169518513
55,33.68147035641533
56,33.74758770297853
57,36.15747458163094
58,36.768195656952386
59,38.52816241405733
60,39.20893830167146
61,40.95938658517099
62,41.54691539044717
63,43.46216310385139
64,44.654417241025456
65,46.228883155909806
66,47.161622575769215
67,48.920283410307405
68,49.72174115247441
69,51.394665371196474
70,52.853446449882306
71,54.49820143849674
72,55.43381501240059
73,57.485718347701884
74,58.111841021962434
75,59.99885359183024
76,61.24607404434561
77,63.328785148367594
78,63.9456129115378
79,66.52817740698781
80,66.70304698460792
81,69.13045809916672
82,69.84654101144041
83,72.58162772993109
84,72.65966630648262
85,75.49744064625054
86,75.90564375070257
87,78.58665499990732
88,78.68226025523096
89,81.55970285921596
90,82.08560292839962
91,84.46868768986647
92,85.46256793941157
93,87.73661207428962
94,88.19992518672395
95,90.64679903185613
96,91.66239139328688
97,93.61143686895728
98,95.01263837244504
99,96.99874485864467
100,97.81070968887354
101,99.91115052258468
102,101.12913712583165
103,102.96348212389894
104,104.35622783775307
105,106.46620373403626
106,107.26586859044191
107,109.3156079758936
108,110.3923101127594
109,112.47916104499058
110,113.41811916741752
111,116.05007600203474
112,116.44675678116036
113,118.75781959120876
114,119.47276883650218
115,121.98461285739725
116,122.24664130695872
117,125.2881797866384
118,125.57133281125462
119,128.09100386782086
120,128.35718419954858
121,130.9002604222509
122,131.29516341406497
123,133.763547478151
124,134.85905629761334
125,136.97621759239772
126,137.1694746401001
127,139.38324186691818
128,140.24444086917146
129,141.9181873213927
130,143.73196905614813
131,145.26137753739167
132,145.8696497106795
133,147.64181486361196
134,148.64018894607875
135,149.87706662737213
136,151.90978361882944
137,153.28101258491608
138,154.0767377619479
139,155.57239270035524
140,156.38496757206957
141,157.6862448185325
142,159.1900493322529
143,161.09828985881538
144,161.67142709876478
145,163.0643953555172
146,163.60624695328696
147,165.10880200110583
148,165.76962927880285
149,168.48675132632025
150,168.50685491309835
151,170.02247046049868
152,170.3458680911755
153,171.8589164765093
154,171.93820188775595
155,174.46404019404468
156,175.25865730198302
157,176.3836245261734
158,176.52191297066693
159,177.5766491458124
160,178.06803398927778
161,179.56891169627957
162,181.30675014295778
163,182.02687570467052
164,182.0921518747255
165,182.86903392346875
166,183.4348044225604
167,184.0176733271653
168,186.4536863499131
169,186.78273847622398
170,187.09294937562467
171,187.59011929171362
172,187.90080009256346
173,188.15665711761562
174,190.19080344442762
175,191.11146750135043
176,191.33551434025063
177,191.6262921019275
178,191.67992028074437
179,191.9792561250774
180,193.043119858887
181,194.68720005041533
182,194.7800310325468
183,194.9214388457241
184,194.93413282078933
185,195.11606861812126
186,195.39229920343254
187,197.16560033077465
188,197.40148736123203
189,197.44995154119957
190,197.48539660864276
191,197.51333035408658
192,197.5550865303353
193,198.6690733126574
194,199.27097846399252
195,199.27904208137033
196,199.28667337675574
197,199.2905346556836
198,199.30036569720895
199,199.61342202293653
