,0
0,0.7064812272887891
1,2.118190349604468
2,3.527389448333823
3,4.934071775180953
4,6.338230521058439
5,7.739858815178524
6,9.138949724125593
7,10.53549625090899
8,11.929491333995749
9,13.320927846322956
10,14.70979859428895
11,16.096096316722804
12,17.479813683831463
13,18.860943296124198
14,20.239477683313265
15,21.615409303190443
16,22.988730540478812
17,24.359433705658617
18,25.727511033767176
19,27.09295468317146
20,28.455756734312725
21,29.81590918842271
22,31.173403966209985
23,32.52823290651618
24,33.88038776494071
25,35.229860212433216
26,36.57664183385296
27,37.920724126493774
28,39.26209849857387
29,40.60075626768918
30,41.936688659229276
31,43.26988680475456
32,44.60034174033362
33,45.92804440483938
34,47.252985638202915
35,48.57515617962335
36,49.894546665732484
37,51.21114762871299
38,52.52494949436801
39,53.83594258014121
40,55.14411709308536
41,56.44946312777759
42,57.75197066417979
43,59.05162956544229
44,60.34842957564908
45,61.64236031750335
46,62.93341128995428
47,64.22157186577111
48,65.50683128908884
49,66.78917867299933
50,68.06860299740106
51,69.34509310768834
52,70.61863771580371
53,71.88922540748742
54,73.15684466500097
55,74.42148392687284
56,75.68313173265115
57,76.94177705488907
58,78.19741002609423
59,79.45002346169571
60,80.69961591039855
61,81.94619748089985
62,83.18980041492075
63,84.4304972082855
64,85.66842970411047
65,86.90385232144145
66,88.13719041280665
67,89.3691096652932
68,90.60058447483654
69,91.83294464093544
70,93.06787554858833
71,94.30735274858827
72,95.55350906961857
73,96.80845544434557
74,98.07409462095731
75,99.35197031617561
76,100.6431812190999
77,101.94836665546667
78,103.2677500474688
79,104.60121579995855
80,105.94839586701382
81,107.30874947803377
82,108.68162792455914
83,110.06632268609951
84,111.46209872778297
85,112.86821613396212
86,114.2839432764825
87,115.70856418749769
88,117.1413821464852
89,118.58172089831886
90,120.02892445662535
91,121.48235611287836
92,122.94139704258488
93,124.40544474798682
94,125.87391147850954
95,127.34622270806774
96,128.8218157098319
97,130.3001382457115
98,131.78064737406268
99,133.2628083713552
100,134.74609375944152
101,136.22998242818375
102,137.7139588426077
103,139.1975123238949
104,140.68013639403992
105,142.16132817468758
106,143.64058783139185
107,145.1174180552343
108,146.59132357436565
109,148.06181068856634
110,149.52838682035332
111,150.9905600764815
112,152.4478388139039
113,153.89973120435647
114,155.34574479172318
115,156.78538603620723
116,158.21815983907814
117,159.64356904136935
118,161.0611138893495
119,162.47029145886196
120,163.87059502968572
121,165.26151339988144
122,166.64253012859174
123,168.01312269389288
124,169.37276154996127
125,170.72090906488893
126,172.05701831680665
127,173.38053172132888
128,174.69087945742956
129,175.98747765129747
130,177.26972626795302
131,178.5370066476733
132,179.78867860748568
133,181.02407700560994
134,182.24250763649414
135,183.44324228266103
136,184.625512691908
137,185.78850316668712
138,186.9313413344049
139,188.0530864929061
140,189.15271466104832
141,190.22909905203275
142,191.28098402215605
143,192.30694943517997
144,193.3053604039344
145,194.2742938812109
146,195.21142513614433
147,196.11384881307507
148,196.9777217013939
149,197.79774467457904
150,198.5647243971541
151,199.2629106429263
152,199.8650756208216
153,200.4398756294898
154,201.09596835037263
155,201.83687619475967
156,202.65032877997479
157,203.49883532665177
158,204.42314086666363
159,205.35040833730926
160,206.3734218617579
161,207.36680308366172
162,208.48483340969884
163,209.53689679540975
164,210.75006007897227
165,211.85589588076664
166,213.1666851117477
167,214.3228410295085
168,215.73558761182463
169,216.9395520246779
170,218.46025503531328
171,219.7101741190604
172,221.34653281665692
173,222.64104354834103
174,224.40264105990076
175,225.74076828099453
176,227.63940382787288
177,229.0204962003654
178,231.07069687728782
179,232.4943888324801
180,234.71416871354634
181,236.18036189382687
182,238.5923513889951
183,240.10121302586796
184,242.7343786262776
185,244.2863574585338
186,247.17872075141426
187,248.77458469710808
188,251.97774845517978
189,253.6186539611115
190,257.20587151392516
191,258.8934858364674
192,262.97545225120354
193,264.71217657343425
194,269.47232019811474
195,271.26173635954746
196,277.0532236435688
197,278.90115635614217
198,286.6390726277077
199,288.5571548001455
